帳號,密碼,權限說明,,
2,管理者,admin,Admin@2026!,擁有所有權限（聯絡簿增修、打卡管理、設定、強制解鎖、匯出匯入）
3,教師01,teacher01,Teach01#tw,聯絡簿增修權限（可編輯聯絡簿與任務）
4,教師02,teacher02,Teach02#tw,聯絡簿增修權限（可編輯聯絡簿與任務）
5,教師03,teacher03,Teach03#tw,聯絡簿增修權限（可編輯聯絡簿與任務）
6,教師04,teacher04,Teach04#tw,聯絡簿增修權限（可編輯聯絡簿與任務）
7,教師05,teacher05,Teach05#tw,聯絡簿增修權限（可編輯聯絡簿與任務）
8,教師06,teacher06,Teach06#tw,聯絡簿增修權限（可編輯聯絡簿與任務）
9,教師07,teacher07,Teach07#tw,聯絡簿增修權限（可編輯聯絡簿與任務）
10,教師08,teacher08,Teach08#tw,聯絡簿增修權限（可編輯聯絡簿與任務）
11,教師09,teacher09,Teach09#tw,聯絡簿增修權限（可編輯聯絡簿與任務）
12,教師10,teacher10,Teach10#tw,聯絡簿增修權限（可編輯聯絡簿與任務）
13,學生01,student01,Stu01!2026,打卡權限（僅能操作座號01號的打卡）
14,學生02,student02,Stu02!2026,打卡權限（僅能操作座號02號的打卡）
15,學生03,student03,Stu03!2026,打卡權限（僅能操作座號03號的打卡）
16,學生04,student04,Stu04!2026,打卡權限（僅能操作座號04號的打卡）
17,學生05,student05,Stu05!2026,打卡權限（僅能操作座號05號的打卡）
18,學生06,student06,Stu06!2026,打卡權限（僅能操作座號06號的打卡）
19,學生07,student07,Stu07!2026,打卡權限（僅能操作座號07號的打卡）
20,學生08,student08,Stu08!2026,打卡權限（僅能操作座號08號的打卡）
21,學生09,student09,Stu09!2026,打卡權限（僅能操作座號09號的打卡）
22,學生10,student10,Stu10!2026,打卡權限（僅能操作座號10號的打卡）
23,學生11,student11,Stu11!2026,打卡權限（僅能操作座號11號的打卡）
24,學生12,student12,Stu12!2026,打卡權限（僅能操作座號12號的打卡）
25,學生13,student13,Stu13!2026,打卡權限（僅能操作座號13號的打卡）
26,學生14,student14,Stu14!2026,打卡權限（僅能操作座號14號的打卡）
27,學生15,student15,Stu15!2026,打卡權限（僅能操作座號15號的打卡）
28,學生16,student16,Stu16!2026,打卡權限（僅能操作座號16號的打卡）
29,學生17,student17,Stu17!2026,打卡權限（僅能操作座號17號的打卡）
30,學生18,student18,Stu18!2026,打卡權限（僅能操作座號18號的打卡）
31,學生19,student19,Stu19!2026,打卡權限（僅能操作座號19號的打卡）
32,學生20,student20,Stu20!2026,打卡權限（僅能操作座號20號的打卡）
33,學生21,student21,Stu21!2026,打卡權限（僅能操作座號21號的打卡）
34,學生22,student22,Stu22!2026,打卡權限（僅能操作座號22號的打卡）
35,學生23,student23,Stu23!2026,打卡權限（僅能操作座號23號的打卡）
36,學生24,student24,Stu24!2026,打卡權限（僅能操作座號24號的打卡）
37,學生25,student25,Stu25!2026,打卡權限（僅能操作座號25號的打卡）
38,學生26,student26,Stu26!2026,打卡權限（僅能操作座號26號的打卡）
39,學生27,student27,Stu27!2026,打卡權限（僅能操作座號27號的打卡）
40,學生28,student28,Stu28!2026,打卡權限（僅能操作座號28號的打卡）
41,學生29,student29,Stu29!2026,打卡權限（僅能操作座號29號的打卡）
42,學生30,student30,Stu30!2026,打卡權限（僅能操作座號30號的打卡）
43,學生31,student31,Stu31!2026,打卡權限（僅能操作座號31號的打卡）
44,學生32,student32,Stu32!2026,打卡權限（僅能操作座號32號的打卡）
45,學生33,student33,Stu33!2026,打卡權限（僅能操作座號33號的打卡）
46,學生34,student34,Stu34!2026,打卡權限（僅能操作座號34號的打卡）
47,學生35,student35,Stu35!2026,打卡權限（僅能操作座號35號的打卡）
48,學生36,student36,Stu36!2026,打卡權限（僅能操作座號36號的打卡）
49,學生37,student37,Stu37!2026,打卡權限（僅能操作座號37號的打卡）
50,學生38,student38,Stu38!2026,打卡權限（僅能操作座號38號的打卡）
51,學生39,student39,Stu39!2026,打卡權限（僅能操作座號39號的打卡）
52,學生40,student40,Stu40!2026,打卡權限（僅能操作座號40號的打卡）
53,學生41,student41,Stu41!2026,打卡權限（僅能操作座號41號的打卡）
54,學生42,student42,Stu42!2026,打卡權限（僅能操作座號42號的打卡）
55,學生43,student43,Stu43!2026,打卡權限（僅能操作座號43號的打卡）
56,學生44,student44,Stu44!2026,打卡權限（僅能操作座號44號的打卡）
57,學生45,student45,Stu45!2026,打卡權限（僅能操作座號45號的打卡）
58,學生46,student46,Stu46!2026,打卡權限（僅能操作座號46號的打卡）
59,學生47,student47,Stu47!2026,打卡權限（僅能操作座號47號的打卡）
60,學生48,student48,Stu48!2026,打卡權限（僅能操作座號48號的打卡）
61,學生49,student49,Stu49!2026,打卡權限（僅能操作座號49號的打卡）
62,學生50,student50,Stu50!2026,打卡權限（僅能操作座號50號的打卡）
